0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:58:45 +0530] "GET /RoyalKitchen/index.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:59:00 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 98326
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:59:09 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:13:59:10 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:00:00 +0530] "POST /RoyalKitchen/admin/adminSignIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:00:00 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 200 54321
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:00:08 +0530] "POST /RoyalKitchen/admin/deleteAdminProfile HTTP/1.1" 200 2819
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:05:45 +0530] "GET /RoyalKitchen/admin/AdminRestaurant HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:05:45 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:05:45 +0530] "GET /RoyalKitchen/index.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:05:55 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 29717
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:05:55 +0530] "GET /RoyalKitchen/admin/styles/images/notFound.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:06:09 +0530] "GET /RoyalKitchen/signIn.jsp HTTP/1.1" 200 3798
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:31:51 +0530] "POST /RoyalKitchen/signIn HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:31:51 +0530] "GET /RoyalKitchen/searchRestaurants HTTP/1.1" 200 29632
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:31:56 +0530] "GET /RoyalKitchen/cart.jsp HTTP/1.1" 200 29100
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:00 +0530] "GET /RoyalKitchen/searchRestaurants HTTP/1.1" 200 29632
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:28 +0530] "POST /RoyalKitchen/navbar.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:28 +0530] "GET /RoyalKitchen/searchRestaurants HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:28 +0530] "GET /RoyalKitchen/index.jsp HTTP/1.1" 200 3905
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:38 +0530] "POST /RoyalKitchen/searchRestaurants HTTP/1.1" 200 29717
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:49 +0530] "POST /RoyalKitchen/AdminAccessServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:49 +0530] "GET /RoyalKitchen/admin/adminSignIn.jsp HTTP/1.1" 200 5542
0:0:0:0:0:0:0:1 - - [07/Mar/2025:14:32:56 +0530] "GET /RoyalKitchen/admin/adminSignUp.jsp HTTP/1.1" 200 11181
